Date,Authors,Title,Journal,PDF,Notes,Preprint_platform,Preprint_link
01/01/2017,"Martin, A. E. & Doumas, L. A. A. ",A mechanism for the cortical computation of hierarchical linguistic structure,PLoS Biology,https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pbio.2000663/1/pbio.2000663.pdf?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=wombat-sa%40plos-prod.iam.gserviceaccount.com%2F20210114%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20210114T172547Z&X-Goog-Expires=3600&X-Goog-SignedHeaders=host&X-Goog-Signature=160279c6f1a750f22790321085b7dda02d7222b77848f752cef4733af2667bcb94b82832321c3180309f464ddfb1b77805da0e27e6a50ede3342b5695f49289affe500dd2fbf081f1896106f5bcc7b0af816837c5ecaba0ef820c270965055de6a9acbc3571da7596baf52df5bc0ae219e32ac13de2f27a73bc8da2604bdba89de1ae45348b523012b05fe69ecd43558259c8190783596053d22dc806a3703ebb4d97b5b5a79b41f84582ca250226f814e1ef16f9b7ee6a407579856324c54bfd3d5592a63d4011c51f56612ac2ab828be18d133c84542f9267c273a584c8f99d676e55dfba29d04da86d5cfd813f6b6ed036a316a444210f6fb3e11f2986c29,"[simulations runnable at: <a href=""https://osf.io/eb2vp/"" target=""_blank"">OSF</a> and <a href=""https://github.com/AlexDoumas/dingetal_sent"" target=""_blank"">github</a>]",,
01/01/2017,"Nieuwland, M. S. & Martin, A. E. ",Neural oscillations and a nascent cortico-hippocampal theory of reference,Journal of Cognitive Neuroscience,https://pure.mpg.de/rest/items/item_2375776_5/component/file_2425088/content,,,
01/01/2017,"*Ito, A., Martin, A. E., & Nieuwland, M. S. ",On predicting form and meaning in a second language,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://pure.mpg.de/rest/items/item_2350083_9/component/file_2459403/content,,,
01/01/2016,"Doumas, L. A. A. & Martin, A. E. ",Abstraction in time: Finding hierarchical linguistic structure in a model of relational processing,Proceedings of the 38th Annual Conference of the Cognitive Science Society,https://www.research.ed.ac.uk/portal/files/26890295/D_M_cogsci16.pdf,,,
01/01/2016,"*Ito, A., Martin, A. E., & Nieuwland, M. S. ",How robust are prediction effects in language comprehension? Failure to replicate article-elicited N400 effects,"Language, Cognition, and Neuroscience",https://pure.mpg.de/rest/items/item_2353036_3/component/file_2353035/content,,,
01/01/2016,"Martin, A. E.**, Monahan, P. J.**, & Samuel, A. G. ",Prediction of agreement and phonetic overlap shape sublexical identification,Language and Speech,https://journals.sagepub.com/doi/pdf/10.1177/0023830916650714,"(**equal authorship contribution, alphabetical listing)",,
01/01/2016,"Martin, A. E. ",Language processing as cue integration: Grounding the psychology of language in perception and neurophysiology,Frontiers in Psychology: Language Sciences,https://drive.google.com/file/d/0B-l2gOxfL_QIS3Z1aXBHUzRPQW8/view,,,
01/01/2016,"*Ito, A., Corley, M., Pickering, M., Martin, A. E., & Nieuwland, M. S. ",Predicting form and meaning: Evidence from brain potentials,Journal of Memory and Language,https://pdf.sciencedirectassets.com/272580/1-s2.0-S0749596X15X00076/1-s2.0-S0749596X15001242/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECkaCXVzLWVhc3QtMSJHMEUCIFiOoe7h4Cl21JQ%2F3UmPgzmnuFBr%2BWZ1VTeC7rMmI4yhAiEAxTMvfJhBxXvxw63g45WBfyGT%2Bh2%2Bccd06Zuz7UkLtR8qvQMI8f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARADGgwwNTkwMDM1NDY4NjUiDHZtzf31RqS1XBJHtCqRAxv%2Btr%2BuRrM5mcbyYO6UzPuYvqmfPQ3VoPKKJE0BmE8blkDZ9oqOsxb5L2it4kmQ2covpASeLt386tQgZACGEbq6bIeI5U%2B1aOsM7hIFSUyjDecfSHeetenUVysXyGFtqOKlE0Ouz6F8RLibeXSCpH0LgwDEgrfU42FL2HyYLUEVdbc41bIk8h88sZQeWYw%2Ba0PMe2BOAM5ACZ9L2JakgN%2BtxHKWCmdKkLUxdPnkGzu%2B%2FzUMBFYgptub2Y5C0MEq60Bcl0lTCP6hvKU%2B91DTA5SdLsMOtw8zDMudc8eJvj6IZbD6lYLSJAb1WeXlHWxbz%2FvmkjKR6ZFfs4b6NqAedBOnxenmGJ%2BSuA4oiUbPQE%2B%2B5%2Fs3HN9ZQiQKcquyltYmoaAnh%2FyIUQuJxjYwukV3yMtqGv5HKo1cDM0Q8lxedr%2Bsn2hoimNRgw%2BIwt%2FIBqq3dnBT8IJudIt3wgVXEC613aIs3m1D0j1ebBjg9Jo29k7M3SmEInmqTTknLTgu75KQu%2B5cNmMX86XPZYZ2UuLwDGvtMK%2FegYAGOusBawkWRr8xP3ejhlzDXsdExmewu%2F6pxHaxNVZJPp1OnXdtWX8tFULh9EN15TuY6zE6eK5%2B%2BdhKzj3oLiP%2F5UWWYfimoo647bySRmqJJ9hLLcsPlMwD4UHDX9k4P767Wd4mRSfppPSK7sBEep7q4%2Bs5q9Sy1dcJ3XqMBfz8A5wEyB2BGAZpVLqAE7MswlE1%2BenPdf9vk86sWHYgbBvMFt0RlDp8fkckVxUljvtb11tvYh7SSdqM209qMYjzftLwKRGfuxYHRxggf65zyqmFu%2BB8DJDct%2FAMmqLJRQ9kBlmGamg2MFjagzLtpoHYzw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210114T172928Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY5FW5CKEE%2F20210114%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c1e6d4ab16e1f65887e27e17e3b35192708080896794bed0d9c0f612724b778b&hash=40f1fa5c79df1553232fcb03dbcda469953656535ebb74d762a31ce63f9c5a41&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0749596X15001242&tid=spdf-7306cb91-8ed1-4682-b344-54c495756d26&sid=d21c76242cb1f04c189950d3298b39b2f023gxrqb&type=client,,,
01/01/2014,"Martin, A. E., Nieuwland, M. S., & Carreiras, M. ",Agreement attraction during comprehension of grammatical sentences: ERP evidence from ellipsis,Brain and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIdFdUdmdkOXNqLVE/view,,,
01/01/2013,"Davidson, D. J. & Martin, A. E. ",Modelling accuracy as a function of response time with the generalized linear mixed effects model,Acta Psychologica,https://docs.google.com/file/d/0B-l2gOxfL_QIdnZwMzh0Y2RPeUU/edit,,,
01/01/2013,"Nieuwland, M. S., Martin, A. E., & Carreiras, M. ",Event-related brain potential evidence for animacy processing asymmetries during sentence comprehension,Brain and Language,https://docs.google.com/file/d/0B-l2gOxfL_QIN0hzSkhybEpGV0E/edit,,,
01/01/2012,"Martin, A. E., Nieuwland, M. S., & Carreiras, M. ",Event-related brain potentials index cue-based retrieval interference during sentence comprehension,NeuroImage,https://drive.google.com/file/d/0B-l2gOxfL_QIZGJmYTAxZTQtNzQ4Mi00MWM2LTkxNmUtMmM3MzM0ZjI4ZWVk/view,,,
01/01/2012,"Nieuwland, M. S. & Martin, A. E. ","If the real-world were irrelevant, so to speak: The role of propositional truth-value in counterfactual sentence comprehension",Cognition,https://drive.google.com/file/d/0B-l2gOxfL_QIYmMxOTJmMGUtZTI4Yy00ODdlLWJmMzAtZDczYjgyMzhkODll/view,,,
01/01/2012,"Nieuwland, M. S., Martin, A. E., & Carreiras, M. ",Brain regions that process case: Evidence from Basque,Human Brain Mapping,https://docs.google.com/file/d/0B-l2gOxfL_QIQkJqeDdYTkxTMms/edit,,,
01/01/2011,"Martin, A. E. & McElree, B. ",Direct-access retrieval during sentence comprehension: Evidence from Sluicing,Journal of Memory and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIZTUwODAwMDUtNzc3Ny00Y2JmLThkZTMtNjg0MzkxMDMxNGFh/view,,,
01/01/2009,"Martin, A. E. & McElree, B. ",Memory operations that support language comprehension: Evidence from verb-phrase ellipsis,"Journal of Experimental Psychology: Learning, Memory, and Cognition",https://drive.google.com/file/d/0B-l2gOxfL_QIMTQ2M2VmOTEtZTU0Ny00NzdhLThjMGYtZTE2NDRjNjRkMzdj/view,,,
01/01/2009,"Pylkkanen, L., Martin, A. E., McElree, B., & Smart, A. ",The Anterior Midline Field: Coercion or decision making?,Brain and Language,https://drive.google.com/file/d/0B-l2gOxfL_QINzk1ZmY2NzUtYTEyNy00ZTNmLWI4MTUtMDI2MTU4YzVmMTdm/view,,,
01/01/2008,"Martin, A. E. & McElree, B. ",A content-addressable pointer mechanism underlies comprehension of verb-phrase ellipsis,Journal of Memory and Language,https://drive.google.com/file/d/0B-l2gOxfL_QIYjJiZjg1NTEtYTExOC00NWRkLTllYjEtNmQyNDcyZmU5YzJm/view,,,
01/01/2008,"Ashby, J. & Martin, A. E. ",Prosodic phonological representations in early visual word recognition,Journal of Experimental Psychology: Human Perception and Performance,https://drive.google.com/file/d/0B-l2gOxfL_QIMmQwM2M0NjAtNGZhOC00NTk0LWIwZmQtYTIzM2MwYjRlMTAx/view,,,
,"Kaushik, K. R. & Martin, A. E.",Modelling compositionality and structure dependence in natural language,,,,arxiv,https://arxiv.org/abs/2012.02038
,"Doumas, L. A. A., Puebla, G., & Martin, A. E. ",Human-like generalization in a machine through predicate learning,,,,arxiv,https://arxiv.org/abs/1806.01709
,"Foraker, S., Cunnings, I., & Martin, A. E.",Speed-accuracy tradeoff modeling and its interface with experimental syntax,,,,psyarxiv,https://psyarxiv.com/8zpaj
,"Doumas, L. A. A., Puebla, G., & Martin, A. E.",How we learn things we didn't know already: A theory of learning structured representations from experience,,,,biorxiv,https://www.biorxiv.org/content/10.1101/198804v1.abstract
